Tarih,Hat,Vardiya,Planli Sure (dk),Durus Suresi (dk),Durus Nedeni,Uretim Adedi,Hatali Adet,Cevrim Suresi (sn)
2026-05-11,Hat-1,Vardiya-1,480,108,Ariza,557,11,35
2026-05-11,Hat-1,Vardiya-2,480,38,Kalite Sorunu,659,6,35
2026-05-11,Hat-2,Vardiya-1,480,225,Ariza,268,6,50
2026-05-11,Hat-2,Vardiya-2,480,68,Ariza,446,13,50
2026-05-11,Hat-3,Vardiya-1,480,52,Ariza,827,13,28
2026-05-11,Hat-3,Vardiya-2,480,17,Malzeme Bekleme,902,13,28
2026-05-12,Hat-1,Vardiya-1,480,75,Malzeme Bekleme,646,22,35
2026-05-12,Hat-1,Vardiya-2,480,62,Ariza,647,10,35
2026-05-12,Hat-2,Vardiya-1,480,65,Kalip/Ayar Degisimi,448,10,50
2026-05-12,Hat-2,Vardiya-2,480,88,Malzeme Bekleme,418,9,50
2026-05-12,Hat-3,Vardiya-1,480,59,Ariza,849,12,28
2026-05-12,Hat-3,Vardiya-2,480,54,Ariza,835,13,28
2026-05-13,Hat-1,Vardiya-1,480,51,Kalip/Ayar Degisimi,658,15,35
2026-05-13,Hat-1,Vardiya-2,480,57,Vardiya Devri,620,19,35
2026-05-13,Hat-2,Vardiya-1,480,59,Malzeme Bekleme,427,10,50
2026-05-13,Hat-2,Vardiya-2,480,59,Vardiya Devri,451,12,50
2026-05-13,Hat-3,Vardiya-1,480,34,Planli Bakim,888,14,28
2026-05-13,Hat-3,Vardiya-2,480,64,Malzeme Bekleme,795,12,28
2026-05-14,Hat-1,Vardiya-1,480,72,Kalip/Ayar Degisimi,618,9,35
2026-05-14,Hat-1,Vardiya-2,480,64,Malzeme Bekleme,618,18,35
2026-05-14,Hat-2,Vardiya-1,480,56,Kalip/Ayar Degisimi,456,6,50
2026-05-14,Hat-2,Vardiya-2,480,102,Malzeme Bekleme,405,11,50
2026-05-14,Hat-3,Vardiya-1,480,51,Planli Bakim,861,19,28
2026-05-14,Hat-3,Vardiya-2,480,49,Malzeme Bekleme,815,18,28
2026-05-15,Hat-1,Vardiya-1,480,67,Kalite Sorunu,681,20,35
2026-05-15,Hat-1,Vardiya-2,480,81,Enerji Kesintisi,587,13,35
2026-05-15,Hat-2,Vardiya-1,480,66,Planli Bakim,449,2,50
2026-05-15,Hat-2,Vardiya-2,480,75,Malzeme Bekleme,446,11,50
2026-05-15,Hat-3,Vardiya-1,480,52,Planli Bakim,848,25,28
2026-05-15,Hat-3,Vardiya-2,480,64,Ariza,788,17,28
2026-05-16,Hat-1,Vardiya-1,480,57,Ariza,695,14,35
2026-05-16,Hat-1,Vardiya-2,480,50,Kalip/Ayar Degisimi,663,14,35
2026-05-16,Hat-2,Vardiya-1,480,58,Malzeme Bekleme,461,10,50
2026-05-16,Hat-2,Vardiya-2,480,106,Malzeme Bekleme,392,9,50
2026-05-16,Hat-3,Vardiya-1,480,58,Planli Bakim,839,31,28
2026-05-16,Hat-3,Vardiya-2,480,57,Ariza,811,16,28
2026-05-17,Hat-1,Vardiya-1,360,123,Planli Bakim,351,8,35
2026-05-17,Hat-1,Vardiya-2,360,94,Ariza,385,9,35
2026-05-17,Hat-2,Vardiya-1,360,115,Planli Bakim,261,7,50
2026-05-17,Hat-2,Vardiya-2,360,105,Malzeme Bekleme,269,6,50
2026-05-17,Hat-3,Vardiya-1,360,78,Kalip/Ayar Degisimi,565,17,28
2026-05-17,Hat-3,Vardiya-2,360,76,Planli Bakim,551,13,28
2026-05-18,Hat-1,Vardiya-1,480,56,Kalite Sorunu,631,8,35
2026-05-18,Hat-1,Vardiya-2,480,51,Ariza,696,12,35
2026-05-18,Hat-2,Vardiya-1,480,56,Malzeme Bekleme,463,12,50
2026-05-18,Hat-2,Vardiya-2,480,51,Ariza,449,8,50
2026-05-18,Hat-3,Vardiya-1,480,53,Ariza,798,4,28
2026-05-18,Hat-3,Vardiya-2,480,59,Kalite Sorunu,813,18,28
2026-05-19,Hat-1,Vardiya-1,480,72,Kalite Sorunu,661,7,35
2026-05-19,Hat-1,Vardiya-2,480,43,Ariza,689,9,35
2026-05-19,Hat-2,Vardiya-1,480,52,Planli Bakim,470,5,50
2026-05-19,Hat-2,Vardiya-2,480,49,Ariza,476,8,50
2026-05-19,Hat-3,Vardiya-1,480,75,Kalite Sorunu,794,16,28
2026-05-19,Hat-3,Vardiya-2,480,71,Kalip/Ayar Degisimi,792,10,28
2026-05-20,Hat-1,Vardiya-1,480,59,Kalite Sorunu,650,10,35
2026-05-20,Hat-1,Vardiya-2,480,58,Ariza,693,14,35
2026-05-20,Hat-2,Vardiya-1,480,63,Ariza,454,10,50
2026-05-20,Hat-2,Vardiya-2,480,58,Malzeme Bekleme,453,8,50
2026-05-20,Hat-3,Vardiya-1,480,14,Ariza,937,29,28
2026-05-20,Hat-3,Vardiya-2,480,44,Planli Bakim,853,18,28
2026-05-21,Hat-1,Vardiya-1,480,68,Malzeme Bekleme,644,16,35
2026-05-21,Hat-1,Vardiya-2,480,44,Ariza,667,13,35
2026-05-21,Hat-2,Vardiya-1,480,67,Kalip/Ayar Degisimi,471,17,50
2026-05-21,Hat-2,Vardiya-2,480,66,Ariza,430,5,50
2026-05-21,Hat-3,Vardiya-1,480,85,Kalip/Ayar Degisimi,779,23,28
2026-05-21,Hat-3,Vardiya-2,480,53,Kalip/Ayar Degisimi,785,24,28
2026-05-22,Hat-1,Vardiya-1,480,50,Kalip/Ayar Degisimi,627,12,35
2026-05-22,Hat-1,Vardiya-2,480,70,Kalip/Ayar Degisimi,623,13,35
2026-05-22,Hat-2,Vardiya-1,480,70,Malzeme Bekleme,441,12,50
2026-05-22,Hat-2,Vardiya-2,480,89,Kalip/Ayar Degisimi,435,3,50
2026-05-22,Hat-3,Vardiya-1,480,52,Enerji Kesintisi,837,12,28
2026-05-22,Hat-3,Vardiya-2,480,35,Malzeme Bekleme,822,8,28
2026-05-23,Hat-1,Vardiya-1,480,64,Ariza,677,7,35
2026-05-23,Hat-1,Vardiya-2,480,80,Malzeme Bekleme,631,2,35
2026-05-23,Hat-2,Vardiya-1,480,88,Ariza,412,2,50
2026-05-23,Hat-2,Vardiya-2,480,80,Malzeme Bekleme,424,9,50
2026-05-23,Hat-3,Vardiya-1,480,31,Ariza,893,1,28
2026-05-23,Hat-3,Vardiya-2,480,58,Vardiya Devri,798,30,28
2026-05-24,Hat-1,Vardiya-1,360,114,Planli Bakim,391,10,35
2026-05-24,Hat-1,Vardiya-2,360,141,Planli Bakim,335,5,35
2026-05-24,Hat-2,Vardiya-1,360,160,Planli Bakim,206,2,50
2026-05-24,Hat-2,Vardiya-2,360,138,Planli Bakim,244,5,50
2026-05-24,Hat-3,Vardiya-1,360,75,Planli Bakim,582,12,28
2026-05-24,Hat-3,Vardiya-2,360,86,Planli Bakim,514,7,28
2026-05-25,Hat-1,Vardiya-1,480,58,Planli Bakim,621,8,35
2026-05-25,Hat-1,Vardiya-2,480,32,Vardiya Devri,715,16,35
2026-05-25,Hat-2,Vardiya-1,480,60,Planli Bakim,450,15,50
2026-05-25,Hat-2,Vardiya-2,480,92,Ariza,403,9,50
2026-05-25,Hat-3,Vardiya-1,480,62,Ariza,818,11,28
2026-05-25,Hat-3,Vardiya-2,480,70,Ariza,781,24,28
2026-05-26,Hat-1,Vardiya-1,480,59,Ariza,670,8,35
2026-05-26,Hat-1,Vardiya-2,480,26,Ariza,746,4,35
2026-05-26,Hat-2,Vardiya-1,480,70,Malzeme Bekleme,459,11,50
2026-05-26,Hat-2,Vardiya-2,480,66,Ariza,467,7,50
2026-05-26,Hat-3,Vardiya-1,480,61,Kalip/Ayar Degisimi,828,28,28
2026-05-26,Hat-3,Vardiya-2,480,49,Malzeme Bekleme,874,13,28
2026-05-27,Hat-1,Vardiya-1,480,74,Planli Bakim,649,14,35
2026-05-27,Hat-1,Vardiya-2,480,37,Planli Bakim,670,14,35
2026-05-27,Hat-2,Vardiya-1,480,33,Kalite Sorunu,513,13,50
2026-05-27,Hat-2,Vardiya-2,480,48,Malzeme Bekleme,453,7,50
2026-05-27,Hat-3,Vardiya-1,480,62,Planli Bakim,842,9,28
2026-05-27,Hat-3,Vardiya-2,480,53,Malzeme Bekleme,884,4,28
2026-05-28,Hat-1,Vardiya-1,480,47,Vardiya Devri,664,15,35
2026-05-28,Hat-1,Vardiya-2,480,45,Kalite Sorunu,689,2,35
2026-05-28,Hat-2,Vardiya-1,480,69,Kalip/Ayar Degisimi,443,1,50
2026-05-28,Hat-2,Vardiya-2,480,47,Planli Bakim,459,6,50
2026-05-28,Hat-3,Vardiya-1,480,7,Ariza,912,23,28
2026-05-28,Hat-3,Vardiya-2,480,58,Kalip/Ayar Degisimi,783,7,28
2026-05-29,Hat-1,Vardiya-1,480,60,Planli Bakim,609,5,35
2026-05-29,Hat-1,Vardiya-2,480,55,Ariza,653,6,35
2026-05-29,Hat-2,Vardiya-1,480,76,Ariza,422,3,50
2026-05-29,Hat-2,Vardiya-2,480,66,Ariza,449,7,50
2026-05-29,Hat-3,Vardiya-1,480,26,Ariza,924,6,28
2026-05-29,Hat-3,Vardiya-2,480,78,Ariza,746,11,28
2026-05-30,Hat-1,Vardiya-1,480,34,Ariza,702,19,35
2026-05-30,Hat-1,Vardiya-2,480,54,Ariza,625,10,35
2026-05-30,Hat-2,Vardiya-1,480,57,Malzeme Bekleme,455,8,50
2026-05-30,Hat-2,Vardiya-2,480,42,Enerji Kesintisi,430,11,50
2026-05-30,Hat-3,Vardiya-1,480,15,Diger,840,1,28
2026-05-30,Hat-3,Vardiya-2,480,48,Kalip/Ayar Degisimi,863,28,28
2026-05-31,Hat-1,Vardiya-1,360,83,Planli Bakim,422,7,35
2026-05-31,Hat-1,Vardiya-2,360,109,Planli Bakim,384,7,35
2026-05-31,Hat-2,Vardiya-1,360,110,Planli Bakim,269,7,50
2026-05-31,Hat-2,Vardiya-2,360,90,Planli Bakim,298,3,50
2026-05-31,Hat-3,Vardiya-1,360,81,Planli Bakim,583,11,28
2026-05-31,Hat-3,Vardiya-2,360,112,Planli Bakim,486,9,28
2026-06-01,Hat-1,Vardiya-1,480,43,Diger,715,9,35
2026-06-01,Hat-1,Vardiya-2,480,75,Kalip/Ayar Degisimi,625,3,35
2026-06-01,Hat-2,Vardiya-1,480,224,Ariza,275,1,50
2026-06-01,Hat-2,Vardiya-2,480,45,Ariza,484,7,50
2026-06-01,Hat-3,Vardiya-1,480,79,Kalite Sorunu,789,5,28
2026-06-01,Hat-3,Vardiya-2,480,61,Ariza,883,6,28
2026-06-02,Hat-1,Vardiya-1,480,72,Kalip/Ayar Degisimi,608,6,35
2026-06-02,Hat-1,Vardiya-2,480,76,Ariza,640,12,35
2026-06-02,Hat-2,Vardiya-1,480,78,Kalip/Ayar Degisimi,444,7,50
2026-06-02,Hat-2,Vardiya-2,480,62,Ariza,425,4,50
2026-06-02,Hat-3,Vardiya-1,480,54,Malzeme Bekleme,833,6,28
2026-06-02,Hat-3,Vardiya-2,480,35,Kalip/Ayar Degisimi,890,8,28
2026-06-03,Hat-1,Vardiya-1,480,76,Enerji Kesintisi,662,13,35
2026-06-03,Hat-1,Vardiya-2,480,21,Ariza,664,15,35
2026-06-03,Hat-2,Vardiya-1,480,74,Ariza,425,7,50
2026-06-03,Hat-2,Vardiya-2,480,58,Diger,476,4,50
2026-06-03,Hat-3,Vardiya-1,480,45,Ariza,847,15,28
2026-06-03,Hat-3,Vardiya-2,480,49,Ariza,850,4,28
2026-06-04,Hat-1,Vardiya-1,480,32,Ariza,712,10,35
2026-06-04,Hat-1,Vardiya-2,480,53,Planli Bakim,652,10,35
2026-06-04,Hat-2,Vardiya-1,480,51,Ariza,449,9,50
2026-06-04,Hat-2,Vardiya-2,480,65,Kalip/Ayar Degisimi,434,4,50
2026-06-04,Hat-3,Vardiya-1,480,45,Ariza,865,1,28
2026-06-04,Hat-3,Vardiya-2,480,18,Enerji Kesintisi,927,32,28
2026-06-05,Hat-1,Vardiya-1,480,69,Ariza,652,10,35
2026-06-05,Hat-1,Vardiya-2,480,36,Planli Bakim,729,7,35
2026-06-05,Hat-2,Vardiya-1,480,60,Kalip/Ayar Degisimi,429,1,50
2026-06-05,Hat-2,Vardiya-2,480,79,Kalip/Ayar Degisimi,419,7,50
2026-06-05,Hat-3,Vardiya-1,480,47,Ariza,847,13,28
2026-06-05,Hat-3,Vardiya-2,480,60,Kalip/Ayar Degisimi,834,8,28
2026-06-06,Hat-1,Vardiya-1,480,37,Malzeme Bekleme,683,8,35
2026-06-06,Hat-1,Vardiya-2,480,55,Kalite Sorunu,641,11,35
2026-06-06,Hat-2,Vardiya-1,480,85,Planli Bakim,421,3,50
2026-06-06,Hat-2,Vardiya-2,480,42,Kalip/Ayar Degisimi,474,4,50
2026-06-06,Hat-3,Vardiya-1,480,35,Malzeme Bekleme,892,5,28
2026-06-06,Hat-3,Vardiya-2,480,43,Ariza,854,12,28
2026-06-07,Hat-1,Vardiya-1,360,83,Kalip/Ayar Degisimi,440,4,35
2026-06-07,Hat-1,Vardiya-2,360,120,Planli Bakim,378,5,35
2026-06-07,Hat-2,Vardiya-1,360,98,Planli Bakim,286,4,50
2026-06-07,Hat-2,Vardiya-2,360,123,Planli Bakim,260,6,50
2026-06-07,Hat-3,Vardiya-1,360,89,Planli Bakim,501,11,28
2026-06-07,Hat-3,Vardiya-2,360,96,Kalip/Ayar Degisimi,514,2,28
2026-06-08,Hat-1,Vardiya-1,480,57,Ariza,717,11,35
2026-06-08,Hat-1,Vardiya-2,480,27,Kalite Sorunu,719,5,35
2026-06-08,Hat-2,Vardiya-1,480,65,Kalip/Ayar Degisimi,449,10,50
2026-06-08,Hat-2,Vardiya-2,480,73,Ariza,435,3,50
2026-06-08,Hat-3,Vardiya-1,480,51,Malzeme Bekleme,846,1,28
2026-06-08,Hat-3,Vardiya-2,480,47,Ariza,859,12,28
2026-06-09,Hat-1,Vardiya-1,480,30,Ariza,737,13,35
2026-06-09,Hat-1,Vardiya-2,480,61,Kalip/Ayar Degisimi,649,11,35
2026-06-09,Hat-2,Vardiya-1,480,58,Malzeme Bekleme,458,4,50
2026-06-09,Hat-2,Vardiya-2,480,50,Kalip/Ayar Degisimi,478,8,50
2026-06-09,Hat-3,Vardiya-1,480,71,Planli Bakim,839,10,28
2026-06-09,Hat-3,Vardiya-2,480,63,Planli Bakim,815,3,28
2026-06-10,Hat-1,Vardiya-1,480,44,Ariza,683,12,35
2026-06-10,Hat-1,Vardiya-2,480,48,Kalip/Ayar Degisimi,703,1,35
2026-06-10,Hat-2,Vardiya-1,480,35,Ariza,471,12,50
2026-06-10,Hat-2,Vardiya-2,480,37,Ariza,509,11,50
2026-06-10,Hat-3,Vardiya-1,480,51,Ariza,841,18,28
2026-06-10,Hat-3,Vardiya-2,480,53,Malzeme Bekleme,842,7,28
2026-06-11,Hat-1,Vardiya-1,480,62,Vardiya Devri,683,3,35
2026-06-11,Hat-1,Vardiya-2,480,28,Planli Bakim,705,8,35
2026-06-11,Hat-2,Vardiya-1,480,66,Malzeme Bekleme,442,10,50
2026-06-11,Hat-2,Vardiya-2,480,63,Ariza,462,10,50
2026-06-11,Hat-3,Vardiya-1,480,90,Ariza,761,15,28
2026-06-11,Hat-3,Vardiya-2,480,52,Malzeme Bekleme,842,23,28
2026-06-12,Hat-1,Vardiya-1,480,51,Kalip/Ayar Degisimi,657,11,35
2026-06-12,Hat-1,Vardiya-2,480,60,Malzeme Bekleme,697,9,35
2026-06-12,Hat-2,Vardiya-1,480,76,Vardiya Devri,461,7,50
2026-06-12,Hat-2,Vardiya-2,480,46,Malzeme Bekleme,474,7,50
2026-06-12,Hat-3,Vardiya-1,480,52,Kalite Sorunu,886,16,28
2026-06-12,Hat-3,Vardiya-2,480,31,Ariza,938,12,28
2026-06-13,Hat-1,Vardiya-1,480,61,Ariza,660,8,35
2026-06-13,Hat-1,Vardiya-2,480,10,Planli Bakim,738,8,35
2026-06-13,Hat-2,Vardiya-1,480,36,Kalite Sorunu,501,2,50
2026-06-13,Hat-2,Vardiya-2,480,81,Ariza,439,10,50
2026-06-13,Hat-3,Vardiya-1,480,30,Vardiya Devri,899,7,28
2026-06-13,Hat-3,Vardiya-2,480,48,Ariza,870,7,28
2026-06-14,Hat-1,Vardiya-1,360,122,Planli Bakim,390,8,35
2026-06-14,Hat-1,Vardiya-2,360,120,Planli Bakim,388,5,35
2026-06-14,Hat-2,Vardiya-1,360,110,Kalip/Ayar Degisimi,258,6,50
2026-06-14,Hat-2,Vardiya-2,360,106,Planli Bakim,282,0,50
2026-06-14,Hat-3,Vardiya-1,360,70,Planli Bakim,580,1,28
2026-06-14,Hat-3,Vardiya-2,360,109,Kalip/Ayar Degisimi,487,9,28
2026-06-15,Hat-1,Vardiya-1,480,22,Vardiya Devri,700,1,35
2026-06-15,Hat-1,Vardiya-2,480,63,Malzeme Bekleme,622,4,35
2026-06-15,Hat-2,Vardiya-1,480,36,Malzeme Bekleme,509,12,50
2026-06-15,Hat-2,Vardiya-2,480,55,Malzeme Bekleme,457,3,50
2026-06-15,Hat-3,Vardiya-1,480,58,Ariza,878,10,28
2026-06-15,Hat-3,Vardiya-2,480,54,Malzeme Bekleme,866,11,28
